exercise,type,bodypart,equipment,level
Holman Renegade Row to Split Jump,Strength,Lats,Other,Intermediate
Holman Dirty Dog to Renegade Row,Strength,Lats,Other,Intermediate
Holman Renegade Row to Side Punch to Forward Punch,Strength,Lats,Other,Intermediate
Standing dumbbell knee crunch,Strength,Lats,Other,Intermediate
Close-grip pull-down,Strength,Lats,Cable,Intermediate
Shotgun row,Strength,Lats,Cable,Intermediate
Close-Grip Front Lat Pulldown,Strength,Lats,Cable,Intermediate
Straight-arm rope pull-down,Strength,Lats,Cable,Intermediate
Lat pull-down,Strength,Lats,Cable,Intermediate
Straight-Arm Pulldown,Strength,Lats,Cable,Intermediate
Single-arm kneeling lat pull-down,Strength,Lats,Cable,Beginner
Elevated Cable Rows,Strength,Lats,Cable,Beginner
Full Range-Of-Motion Lat Pulldown,Strength,Lats,Cable,Beginner
Kneeling lat pull-down,Strength,Lats,Cable,Intermediate
Behind-the-neck pull-down,Strength,Lats,Cable,Intermediate
Straight-arm cable pull-over,Strength,Lats,Cable,Intermediate
Cable Straight-Arm Pulldown - Gethin Variation,Strength,Lats,Cable,Intermediate
Rope Lat Pull-down - Gethin Variation,Strength,Lats,Cable,Intermediate
Straight-Arm Pull-Down - Gethin Variation,Strength,Lats,Cable,Intermediate
High-cable standing row,Strength,Lats,Cable,Intermediate
Lat Pull-down - Gethin Variation,Strength,Lats,Cable,Intermediate
Wide-Grip Lat Pull-Down - Gethin Variation,Strength,Lats,Cable,Intermediate
Behind-The-Neck Pull-Down - Gethin Variation,Strength,Lats,Cable,Intermediate
Single-Arm Cable Row - Gethin Variation,Strength,Lats,Cable,Intermediate
Scapular Rows,Strength,Lats,Cable,Intermediate
Standing V-Grip Cable Rows,Strength,Lats,Cable,Intermediate
AM Close-Grip Pull-Down,Strength,Lats,Cable,Intermediate
AM Wide-Grip Pull-Down,Strength,Lats,Cable,Intermediate
UP Lat Pull-Down,Strength,Lats,Cable,Intermediate
Reverse-grip lat pull-down,Strength,Lats,Machine,Intermediate
Machine seated row,Strength,Lats,Machine,Beginner
Machine-assisted pull-up,Strength,Lats,Machine,Beginner
Single-arm pull-down,Strength,Lats,Machine,Intermediate
Chest-Supported Smith Machine Row - Gethin Variation,Strength,Lats,Machine,Intermediate
Single-arm machine high row,Strength,Lats,Machine,Intermediate
Machine Pull-Over - Gethin Variation,Strength,Lats,Machine,Intermediate
Seated Machine Row - Gethin Variation,Strength,Lats,Machine,Intermediate
Wide-Grip Machine Row,Strength,Lats,Machine,Intermediate
King Maker Lat Pull-Down,Strength,Lats,Machine,Intermediate
Robertson Half-Kneeling Landmine Press,Strength,Lats,Machine,Intermediate
Pullups,Strength,Lats,Body Only,Intermediate
Pull-up,Strength,Lats,Body Only,Beginner
Muscle Up,Strength,Lats,Body Only,Intermediate
Rope climb,Strength,Lats,Body Only,Intermediate
Wide-Grip Rear Pull-Up,Strength,Lats,Body Only,Beginner
Side To Side Chins,Strength,Lats,Body Only,Intermediate
Neutral-grip pull-up,Strength,Lats,Body Only,Intermediate
Kipping Muscle Up,Strength,Lats,Body Only,Intermediate
One Arm Against Wall,Stretching,Lats,Body Only,Intermediate
One Handed Hang,Stretching,Lats,Body Only,Intermediate
Standing side bend stretch,Stretching,Lats,Body Only,Intermediate
Burpee to pull-up,Plyometrics,Lats,Body Only,Intermediate
Negative pull-up,Strength,Lats,Body Only,Intermediate
Chin-Up,Strength,Lats,Body Only,Intermediate
HM Superman Lat Pull,Strength,Lats,Body Only,Intermediate
AM Pull-Up,Strength,Lats,Body Only,Intermediate
UP Chin-Up,Strength,Lats,Body Only,Intermediate
Holman Alternating Forward and Side Punch,Strength,Lats,Body Only,Intermediate
Jump to pull-up,Strength,Lats,Body Only,Intermediate
Bent-over scapular slide,Strength,Lats,Body Only,Intermediate
Iron cross stretch,Strength,Lats,Body Only,Intermediate
Total Fitness Standing Lat Stretch,Strength,Lats,Body Only,Intermediate
King Maker Pull-Up,Strength,Lats,Body Only,Intermediate
Medicine ball slam,Plyometrics,Lats,Medicine Ball,Intermediate
Catch and Overhead Throw,Plyometrics,Lats,Medicine Ball,Beginner
FYR2 Bent-Over Medicine Ball Slam,Strength,Lats,Medicine Ball,Intermediate
Band good morning-,Strength,Lower Back,Bands,Intermediate
FYR2 Monster Banded Good Morning,Strength,Lower Back,Bands,Intermediate
Band deadlift,Strength,Lower Back,Bands,Intermediate
Lower back SMR,Stretching,Lower Back,Foam Roll,Intermediate
Barbell deficit deadlift,Powerlifting,Lower Back,Barbell,Beginner
Deadlift with Bands,Powerlifting,Lower Back,Barbell,Beginner
Deadlift with Chains,Powerlifting,Lower Back,Barbell,Beginner
Rack Pull with Bands,Powerlifting,Lower Back,Barbell,Beginner
Rack pull,Powerlifting,Lower Back,Barbell,Intermediate
Seated Good Mornings,Powerlifting,Lower Back,Barbell,Beginner
Stiff Leg Barbell Good Morning,Strength,Lower Back,Barbell,Beginner
Reverse Band Deadlift,Powerlifting,Lower Back,Barbell,Beginner
Paul Carter Romanian Deadlift,Strength,Lower Back,Barbell,Intermediate
TBS Good Morning,Strength,Lower Back,Barbell,Intermediate
TBS Romanian Deadlift,Strength,Lower Back,Barbell,Intermediate
Barbell deadlift-,Strength,Lower Back,Barbell,Intermediate
Deadlift - Gethin Variation,Strength,Lower Back,Barbell,Intermediate
Barbell good morning,Strength,Lower Back,Barbell,Intermediate
UP Conventional Deadlift,Strength,Lower Back,Barbell,Intermediate
30 Day Back Barbell Rack Pull,Strength,Lower Back,Barbell,Intermediate
FYR Sumo Deadlift High Pull,Strength,Lower Back,Kettlebells,Intermediate
Kettlebell deadlift,Strength,Lower Back,Kettlebells,Intermediate
HM Kettlebell Swing,Strength,Lower Back,Kettlebells,Intermediate
KV Romanian Deadlift with Kettlebell,Strength,Lower Back,Kettlebells,Intermediate
FYR2 Kettlebell Good Morning,Strength,Lower Back,Kettlebells,Intermediate
FYR2 Kettlebell Romanian Deadlift,Strength,Lower Back,Kettlebells,Intermediate
FYR2 Kettlebell Staggered-Stance Deadlift,Strength,Lower Back,Kettlebells,Intermediate
Dumbbell Fix Dumbbell Deadlift,Strength,Lower Back,Dumbbell,Intermediate
Dumbbell skier,Strength,Lower Back,Dumbbell,Intermediate
TBS Dumbbell Romanian Deadlift,Strength,Lower Back,Dumbbell,Intermediate
Stiff-Legged Dumbbell Deadlift - Gethin Variation,Strength,Lower Back,Dumbbell,Intermediate
UNS Dumbbell Romanian Deadlift,Strength,Lower Back,Dumbbell,Intermediate
Holman Slow Deadlift,Strength,Lower Back,Dumbbell,Intermediate
Holman Deadlift to Overhead Press,Strength,Lower Back,Dumbbell,Intermediate
Holman Staggered-Stance Deadlift,Strength,Lower Back,Dumbbell,Intermediate
Holman Deadlift to Front Raise,Strength,Lower Back,Dumbbell,Intermediate
Holman Deadlift to Chest Press,Strength,Lower Back,Dumbbell,Intermediate
Holman Deadlift to Squat Thrust,Strength,Lower Back,Dumbbell,Intermediate
Holman Deadlift to Biceps Curl,Strength,Lower Back,Dumbbell,Intermediate
Dumbbell kickstand deadlift,Strength,Lower Back,Dumbbell,Intermediate
Single-leg stiff-legged deadlift to row,Strength,Lower Back,Dumbbell,Intermediate
FYR2 Dumbbell Deadlift,Strength,Lower Back,Dumbbell,Intermediate
FYR2 Dumbbell Deadlift to Dumbbell Upright Row,Strength,Lower Back,Dumbbell,Intermediate
Atlas Stones,Strongman,Lower Back,Other,Intermediate
Axle Deadlift,Strongman,Lower Back,Other,Beginner
Atlas Stone Trainer,Strongman,Lower Back,Other,Beginner
Partner Flat-Bench Back Extension,Strength,Lower Back,Other,Beginner
Keg Load,Strongman,Lower Back,Other,Beginner
Partner bench back extension,Strength,Lower Back,Other,Beginner
Rack Pull - Gethin Variation,Strength,Lower Back,Other,Intermediate
Hex Bar Deadlift - Gethin Variation,Strength,Lower Back,Other,Intermediate
Holman Deadlift,Strength,Lower Back,Other,Intermediate
ACFT Low-handle trap bar deadlift,Strength,Lower Back,Other,Intermediate
Neutral-grip lat pull-down,Strength,Lower Back,Cable,Intermediate
Seated cable deadlift,Strength,Lower Back,Cable,Intermediate
Cable stiff-legged deadlift,Strength,Lower Back,Cable,Intermediate
Single-leg cable stiff-legged deadlift,Strength,Lower Back,Cable,Intermediate
UNS Banded Dumbbell Romanian Deadlift,Strength,Lower Back,Cable,Intermediate
Seated Back Extension,Strength,Lower Back,Machine,Beginner
Back extension,Strength,Lower Back,Body Only,Intermediate
Hyperextensions With No Hyperextension Bench,Strength,Lower Back,Body Only,Beginner
Superman,Stretching,Lower Back,Body Only,Intermediate
Hug A Ball,Stretching,Lower Back,Body Only,Intermediate
Child's pose,Stretching,Lower Back,Body Only,Intermediate
Pelvic Tilt Into Bridge,Stretching,Lower Back,Body Only,Intermediate
Hug Knees To Chest,Stretching,Lower Back,Body Only,Intermediate
Pyramid,Stretching,Lower Back,Body Only,Intermediate
Partner Superman with alternating high-five,Strength,Lower Back,Body Only,Beginner
Yoga plex,Stretching,Lower Back,Body Only,Intermediate
TBS Back Extension,Strength,Lower Back,Body Only,Intermediate
Lower Back Stretch - Yates Variation,Strength,Lower Back,Body Only,Intermediate
Hyperextension - Gethin Variation,Strength,Lower Back,Body Only,Intermediate
Back Extension - Gethin Variation,Strength,Lower Back,Body Only,Intermediate
HM Banana Stretch,Strength,Lower Back,Body Only,Intermediate
HM T-Spine Stretch on Wall,Stretching,Lower Back,Body Only,Intermediate
HM Child's Pose,Strength,Lower Back,Body Only,Intermediate
HM Cobra,Strength,Lower Back,Body Only,Intermediate
HM Cobra With Arm Retraction,Strength,Lower Back,Body Only,Intermediate
HM Dive-Bomber,Strength,Lower Back,Body Only,Intermediate
HM Downward-Facing Dog Pose,Strength,Lower Back,Body Only,Intermediate
HM Downward Dog To Left Leg Extension To Warrior Pose,Strength,Lower Back,Body Only,Intermediate
HM Downward Dog To Right Leg Extension To Warrior Pose,Strength,Lower Back,Body Only,Intermediate
HM Spine Twist,Strength,Lower Back,Body Only,Intermediate
HM Good Morning,Strength,Lower Back,Body Only,Intermediate
HM Rag Doll,Strength,Lower Back,Body Only,Intermediate
HM Upward-Facing Dog Pose,Strength,Lower Back,Body Only,Intermediate
Superman-,Strength,Lower Back,Body Only,Intermediate
Weighted back extension,Strength,Lower Back,Body Only,Intermediate
MetaBurn Alternating Superman,Strength,Lower Back,Body Only,Intermediate
MetaBurn Swimmer,Strength,Lower Back,Body Only,Intermediate
Exercise ball weighted hyperextension,Strength,Lower Back,Exercise Ball,Beginner
Exercise ball rear delt fly,Strength,Lower Back,Exercise Ball,Intermediate
Lying rear delt Y,Strength,Lower Back,Exercise Ball,Intermediate
Partner Facing Feet-Elevated Side Plank With Band Row,Strength,Middle Back,Bands,Beginner
Partner side plank band row,Strength,Middle Back,Bands,Intermediate
Band-assisted chin-up,Strength,Middle Back,Bands,Intermediate
30 Back Band-Assisted Pull-Up,Strength,Middle Back,Bands,Intermediate
30 Back Reverse-Grip Band-Assisted Pull-Up,Strength,Middle Back,Bands,Intermediate
Band bent-over row,Strength,Middle Back,Bands,Intermediate
Heavy band bent-over row,Strength,Middle Back,Bands,Intermediate
Reverse-grip bent-over row,Strength,Middle Back,Barbell,Intermediate
One-Arm Long Bar Row,Strength,Middle Back,Barbell,Intermediate
Bent Over Barbell Row,Strength,Middle Back,Barbell,Intermediate
Yates Row Reverse Grip,Strength,Middle Back,Barbell,Beginner
Pendlay Row,Strength,Middle Back,Barbell,Intermediate
Straight Bar Bench Mid Rows,Strength,Middle Back,Barbell,Beginner
Barbell seal row,Strength,Middle Back,Barbell,Intermediate
Yates Row,Strength,Middle Back,Barbell,Beginner
Plate Row,Strength,Middle Back,Barbell,Beginner
Barbell Deadlift Bent Row Complex,Strength,Middle Back,Barbell,Beginner
Single-Arm Landmine Row,Strength,Middle Back,Barbell,Beginner
TBS T-Bar Row,Strength,Middle Back,Barbell,Intermediate
TBS Deficit Deadlift,Strength,Middle Back,Barbell,Intermediate
Bent-Over Barbell Row - Gethin Variation,Strength,Middle Back,Barbell,Intermediate
Barbell bent-over row,Strength,Middle Back,Barbell,Intermediate
UN Barbell Rack Pull,Strength,Middle Back,Barbell,Intermediate
UN Barbell Scrape The Rack,Strength,Middle Back,Barbell,Intermediate
Barbell deadlift bent-over row complex,Strength,Middle Back,Barbell,Intermediate
30 Back Barbell Deadlift,Strength,Middle Back,Barbell,Intermediate
30 Back Bent-Over Barbell Row,Strength,Middle Back,Barbell,Intermediate
30 Back T-Bar Row,Strength,Middle Back,Barbell,Intermediate
30 Back Underhand Bent-Over Barbell Row,Strength,Middle Back,Barbell,Intermediate
Kettlebell alternating renegade row,Strength,Middle Back,Kettlebells,Intermediate
Alternating Kettlebell Row,Strength,Middle Back,Kettlebells,Intermediate
Two-Arm Kettlebell Row,Strength,Middle Back,Kettlebells,Beginner
Kettlebell bent-over row to clean,Strength,Middle Back,Kettlebells,Intermediate
UP Deficit Kettlebell Stiff-Legged Deadlift,Strength,Middle Back,Kettlebells,Intermediate
FYR2 Dagger-Grip Double-Kettlebell Gorilla Row,Strength,Middle Back,Kettlebells,Intermediate
FYR2 Double-Kettlebell Swing Clean,Strength,Middle Back,Kettlebells,Intermediate
Single-arm kettlebell row-,Strength,Middle Back,Kettlebells,Intermediate
FYR2 Ascending-Rep Swing-Squat Complex,Strength,Middle Back,Kettlebells,Intermediate
One-Arm Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate
Incline dumbbell row,Strength,Middle Back,Dumbbell,Intermediate
Bent Over Two-Dumbbell Row With Palms In,Strength,Middle Back,Dumbbell,Beginner
Man-maker,Strength,Middle Back,Dumbbell,Intermediate
Dumbbell bent-over row,Strength,Middle Back,Dumbbell,Intermediate
Middle Back Shrug,Strength,Middle Back,Dumbbell,Beginner
Dumbbell pull-over to skullcrusher,Strength,Middle Back,Dumbbell,Intermediate
Dumbbell Fix Single-Arm Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate
Dumbbell Fix Bent-Over Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate
Dumbbell Seal Row - Gethin Variation,Strength,Middle Back,Dumbbell,Intermediate
Decline dumbbell chest fly,Strength,Middle Back,Dumbbell,Intermediate
TBS Bent-Over Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate
HM Alternating Bent-Over Quick Row,Strength,Middle Back,Dumbbell,Intermediate
HM Bent-Over Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate
AM Single Arm Row,Strength,Middle Back,Dumbbell,Intermediate
Dumbbell stiff-legged deadlift,Strength,Middle Back,Dumbbell,Intermediate
Single-arm bench dumbbell row,Strength,Middle Back,Dumbbell,Intermediate
UN Bent-Over Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate
UN Dumbbell RDL,Strength,Middle Back,Dumbbell,Intermediate
UN Chest Supported Row,Strength,Middle Back,Dumbbell,Intermediate
MetaBurn Bent-Over Renegade Row,Strength,Middle Back,Dumbbell,Intermediate
30 Back Bent-Over Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate
30 Back Dumbbell Pull-Over,Strength,Middle Back,Dumbbell,Intermediate
30 Back Incline Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate
30 Back Single-Arm Dumbbell Row,Strength,Middle Back,Dumbbell,Intermediate
30 Back Single-Arm Dumbbell Swing Row,Strength,Middle Back,Dumbbell,Intermediate
T-Bar Row with Handle,Strength,Middle Back,Other,Intermediate
T-Bar Row,Strength,Middle Back,Other,Intermediate
Alternating sit-through with crunch,Strength,Middle Back,Other,Intermediate
Seated Cable Rows,Strength,Middle Back,Cable,Intermediate
Upside-down pull-up,Strength,Middle Back,Other,Intermediate
Smith machine inverted row,Strength,Middle Back,Other,Intermediate
Lying T-Bar Row,Strength,Middle Back,Other,Intermediate
Suspended row,Strength,Middle Back,Other,Intermediate
Inverted Row with Straps,Strength,Middle Back,Other,Beginner
One Arm Chin-Up,Strength,Middle Back,Other,Beginner
Sled Row,Strength,Middle Back,Other,Beginner
Paul Carter T-Bar Row,Strength,Middle Back,Other,Intermediate
Single-Arm Bent-Over Rear Delt Raise - Gethin Variation,Strength,Middle Back,Other,Intermediate
30 Back Plate Hyperextension,Strength,Middle Back,Other,Intermediate
Seated Cable Rows,Strength,Middle Back,Cable,Intermediate
Single-arm cable seated row,Strength,Middle Back,Cable,Intermediate
Paul Carter Lat Pull-Down,Strength,Middle Back,Cable,Intermediate
TBS Lat Pull-Down,Strength,Middle Back,Cable,Intermediate
One-Arm Cable Read Delt Fly - Gethin Variation,Strength,Middle Back,Cable,Intermediate
UP Seated Cable Row,Strength,Middle Back,Cable,Intermediate
UP Cable Straight-Arm Pull-Down,Strength,Middle Back,Cable,Intermediate
UN Cable Pull-Through,Strength,Middle Back,Cable,Intermediate
30 Back Close-Grip Seated Cable Row,Strength,Middle Back,Cable,Intermediate
30 Back Incline Face-Up Cable Pull-Down,Strength,Middle Back,Cable,Intermediate
30 Back Kneeling High Cable Pull-Down,Strength,Middle Back,Cable,Intermediate
30 Back Leaning V-Bar Pull-Down,Strength,Middle Back,Cable,Intermediate
30 Back Reverse-Grip Pull-Down,Strength,Middle Back,Cable,Intermediate
30 Back Standing Low Cable Bar Row,Strength,Middle Back,Cable,Intermediate
30 Back Standing Low Cable Rope Row,Strength,Middle Back,Cable,Intermediate
30 Back Straight-Arm Bar Pull-Down,Strength,Middle Back,Cable,Intermediate
30 Back Straight-Arm Rope Pull-Down,Strength,Middle Back,Cable,Intermediate
30 Back Wide-Grip Behind-The-Head Pull-Down,Strength,Middle Back,Cable,Intermediate
30 Back Wide-Grip Pull-Down,Strength,Middle Back,Cable,Intermediate
30 back Wide-Grip Seated Cable Row,Strength,Middle Back,Cable,Intermediate
Rower,Cardio,Middle Back,Machine,Intermediate
Seated Cable Rows,Strength,Middle Back,Cable,Intermediate
Smith machine bent-over row,Strength,Middle Back,Machine,Intermediate
Leverage High Row,Strength,Middle Back,Machine,Beginner
Machine Low Row,Strength,Middle Back,Machine,Intermediate
Standing lat pull-down,Strength,Middle Back,Machine,Intermediate
30 Back Machine Seated Row,Strength,Middle Back,Machine,Intermediate
30 Back Smith Machine Push-Up,Strength,Middle Back,Machine,Intermediate
Mixed Grip Chin,Strength,Middle Back,Body Only,Intermediate
Rhomboids SMR,Stretching,Middle Back,Body Only,Intermediate
Spinal Stretch,Stretching,Middle Back,Body Only,Intermediate
Upper Back Stretch,Stretching,Middle Back,Body Only,Intermediate
Middle Back Stretch,Stretching,Middle Back,Body Only,Intermediate
TBS Pull-Up,Strength,Middle Back,Body Only,Intermediate
HM Angel Stretch,Strength,Middle Back,Body Only,Intermediate
UNS Foam Roll Upper Back,Strength,Middle Back,Body Only,Intermediate
30 Back Neutral-Grip Pull-Down,Strength,Middle Back,Body Only,Intermediate
30 Back Pull-Up,Strength,Middle Back,Body Only,Intermediate
30 Back Reverse-Grip Pull-Up,Strength,Middle Back,Body Only,Intermediate
ACFT Medicine ball overhead power throw,Strength,Middle Back,Medicine Ball,Intermediate
Upright Row - With Bands,Strength,Traps,Bands,Beginner
Band seated row,Strength,Traps,Bands,Intermediate
Barbell shrug,Strength,Traps,Barbell,Intermediate
Barbell behind-the-back shrug,Strength,Traps,Barbell,Intermediate
Clean Shrug,Olympic Weightlifting,Traps,Barbell,Beginner
Snatch Shrug,Olympic Weightlifting,Traps,Barbell,Beginner
Single-arm inverted row,Strength,Traps,Barbell,Intermediate
Kettlebell sumo deadlift high pull,Strength,Traps,Kettlebells,Intermediate
Standing dumbbell shrug,Strength,Traps,Dumbbell,Intermediate
Standing dumbbell upright row,Strength,Traps,Dumbbell,Intermediate
Dumbbell pull-over,Strength,Traps,Dumbbell,Intermediate
Standing Dumbbell Shrug - Gethin Variation,Strength,Traps,Dumbbell,Intermediate
Single-arm dumbbell row,Strength,Traps,Dumbbell,Intermediate
Lying Face Down Plate Neck Resistance,Strength,Neck,Other,Beginner
Lying Face Up Plate Neck Resistance,Strength,Neck,Other,Beginner
Seated Head Harness Neck Resistance,Strength,Neck,Other,Beginner
Cable straight-bar upright row,Strength,Traps,Cable,Intermediate
Cable shrug,Strength,Traps,Cable,Intermediate
Smith machine shrug,Strength,Traps,Machine,Intermediate
Leverage Shrug,Strength,Traps,Machine,Intermediate
Calf-Machine Shoulder Shrug,Strength,Traps,Machine,Beginner
Smith machine behind-the-back shrug,Strength,Traps,Machine,Intermediate
Smith machine upright row,Strength,Traps,Machine,Intermediate
Machine low row-,Strength,Traps,Machine,Intermediate
Machine Shrug - Gethin Variation,Strength,Traps,Machine,Intermediate
Smith machine single-arm shrug,Strength,Traps,Machine,Intermediate
Isometric Neck Exercise - Sides,Strength,Neck,Body Only,Beginner
Isometric Neck Exercise - Front And Back,Strength,Neck,Body Only,Beginner
Neck Bridge Prone,Strength,Neck,Body Only,Beginner
Side Neck Stretch,Stretching,Neck,Body Only,Intermediate
Neck-SMR,Stretching,Neck,Body Only,Intermediate
Single-leg depth squat,Strength,Quadriceps,Bands,Intermediate
Squats - With Bands,Strength,Quadriceps,Bands,Beginner
Hip Flexion with Band,Strength,Quadriceps,Bands,Beginner
Forward Band Walk,Strength,Quadriceps,Bands,Beginner
Boss Everline Resistance-Band Pull Sprint,Strength,Quadriceps,Bands,Intermediate
Banded jump squat,Strength,Quadriceps,Bands,Intermediate
Speed Box Squat,Powerlifting,Quadriceps,Bands,Intermediate
HM Banded Squat Toe Tap,Strength,Quadriceps,Bands,Intermediate
UP Band Abducted Squat,Strength,Quadriceps,Bands,Intermediate
FYR2 Lateral Band Walk,Strength,Quadriceps,Bands,Intermediate
FYR2 Banded Squat Hold-Pulse-Jump Complex,Strength,Quadriceps,Bands,Intermediate
Band split squat,Strength,Quadriceps,Bands,Intermediate
Band front squat,Strength,Quadriceps,Bands,Intermediate
Squat hold with band pull-apart,Strength,Quadriceps,Bands,Intermediate
Banded squat toe tap,Strength,Quadriceps,Bands,Intermediate
Band overhead squat,Strength,Quadriceps,Bands,Intermediate
Quadriceps SMR,Stretching,Quadriceps,Foam Roll,Intermediate
Clean from Blocks,Olympic Weightlifting,Quadriceps,Barbell,Beginner
Barbell Full Squat,Strength,Quadriceps,Barbell,Intermediate
Barbell back squat to box,Powerlifting,Quadriceps,Barbell,Intermediate
Push-press,Olympic Weightlifting,Quadriceps,Barbell,Intermediate
Power snatch-,Olympic Weightlifting,Quadriceps,Barbell,Expert
Hang Clean,Olympic Weightlifting,Quadriceps,Barbell,Beginner
Barbell walking lunge,Strength,Quadriceps,Barbell,Intermediate
Olympic Squat,Olympic Weightlifting,Quadriceps,Barbell,Beginner
Narrow-stance squat,Strength,Quadriceps,Barbell,Expert
Box Squat with Bands,Powerlifting,Quadriceps,Barbell,Beginner
Weighted Jump Squat,Strength,Quadriceps,Barbell,Beginner
Squat with Chains,Powerlifting,Quadriceps,Barbell,Beginner
Barbell Squat,Strength,Quadriceps,Barbell,Intermediate
Barbell front squat,Strength,Quadriceps,Barbell,Intermediate
Barbell forward lunge,Strength,Quadriceps,Barbell,Expert
Smith machine box squat,Strength,Quadriceps,Barbell,Intermediate
Barbell step-up,Strength,Quadriceps,Barbell,Intermediate
Barbell Bulgarian split squat,Strength,Quadriceps,Barbell,Intermediate
Hang Clean - Below the Knees,Olympic Weightlifting,Quadriceps,Barbell,Beginner
Barbell hack squat,Strength,Quadriceps,Barbell,Expert
Hack Squat,Strength,Quadriceps,Barbell,Intermediate
Barbell thruster,Strength,Quadriceps,Barbell,Intermediate
Split Jerk,Olympic Weightlifting,Quadriceps,Barbell,Beginner
Push-jerk,Olympic Weightlifting,Quadriceps,Barbell,Intermediate
Barbell back squat,Strength,Quadriceps,Barbell,Intermediate
Zercher squat,Strength,Quadriceps,Barbell,Intermediate
Jefferson Squats,Strength,Quadriceps,Barbell,Beginner
Jerk Dip Squat,Olympic Weightlifting,Quadriceps,Barbell,Beginner
Barbell side split squat,Strength,Quadriceps,Barbell,Intermediate
Frankenstein Squat,Olympic Weightlifting,Quadriceps,Barbell,Beginner
Barbell speed squat,Strength,Quadriceps,Barbell,Intermediate
Single-arm side deadlift,Strength,Quadriceps,Barbell,Expert
Barbell Squat To A Bench,Strength,Quadriceps,Barbell,Intermediate
Clean Pull,Olympic Weightlifting,Quadriceps,Barbell,Beginner
Front Barbell Squat To A Bench,Strength,Quadriceps,Barbell,Beginner
Barbell reverse lunge,Strength,Quadriceps,Barbell,Intermediate
Split Clean,Olympic Weightlifting,Quadriceps,Barbell,Beginner
Close-stance dumbbell front squat,Strength,Quadriceps,Barbell,Intermediate
Front Squat (Clean Grip),Strength,Quadriceps,Barbell,Beginner
Barbell front squat to back squat,Strength,Quadriceps,Barbell,Intermediate
Squat Jerk,Strength,Quadriceps,Barbell,Beginner
Barbell Front-To-Back Squat,Strength,Quadriceps,Barbell,Intermediate
Box Squat with Chains,Strength,Quadriceps,Barbell,Beginner
Snatch from Blocks,Olympic Weightlifting,Quadriceps,Barbell,Beginner
Power Snatch from Blocks,Olympic Weightlifting,Quadriceps,Barbell,Beginner
Front Squat (Bodybuilder),Strength,Quadriceps,Barbell,Intermediate
Barbell step-down reverse lunge,Strength,Quadriceps,Barbell,Intermediate
Squat with Bands,Powerlifting,Quadriceps,Barbell,Beginner
Heaving Snatch Balance,Olympic Weightlifting,Quadriceps,Barbell,Beginner
Snatch Balance,Olympic Weightlifting,Quadriceps,Barbell,Beginner
Reverse Band Power Squat,Powerlifting,Quadriceps,Barbell,Beginner
Paul Carter Back Squat,Strength,Quadriceps,Barbell,Intermediate
Paul Carter Barbell Split Squat,Strength,Quadriceps,Barbell,Intermediate
TBS High-Bar Back Squat,Strength,Quadriceps,Barbell,Intermediate
TBS Barbell Front Squat,Strength,Quadriceps,Barbell,Intermediate
Squat - Gethin Variation,Strength,Quadriceps,Barbell,Intermediate
Front-To-Back Barbell Squat,Strength,Quadriceps,Barbell,Intermediate
Barbell Lunge - Gethin Variation,Strength,Quadriceps,Barbell,Intermediate
Rack Deadlift - Gethin Variation,Strength,Quadriceps,Barbell,Intermediate
Barbell Squat - Gethin Variation,Strength,Quadriceps,Barbell,Intermediate
Barbell Good Morning - Gethin Variation,Strength,Quadriceps,Barbell,Intermediate
AM Barbell Squat,Strength,Quadriceps,Barbell,Intermediate
Plyometric Power Clean,Strength,Quadriceps,Barbell,Intermediate
Banded Split Jerk,Strength,Quadriceps,Barbell,Intermediate
UP Squat,Strength,Quadriceps,Barbell,Intermediate
UN Barbell Back Squat,Strength,Quadriceps,Barbell,Intermediate
UN Barbell Box Squat,Strength,Quadriceps,Barbell,Intermediate
UN Barbell Front Squat,Strength,Quadriceps,Barbell,Intermediate
KV Bulgarian Split Squat,Strength,Quadriceps,Barbell,Intermediate
King Maker Barbell Back Squat,Strength,Quadriceps,Barbell,Intermediate
King Maker Barbell Deadlift,Strength,Quadriceps,Barbell,Intermediate
30 Legs Barbell Back Squat,Strength,Quadriceps,Barbell,Intermediate
30 Legs Barbell Front Squat,Strength,Quadriceps,Barbell,Intermediate
Barbell Back Squats,Strength,Quadriceps,Barbell,Intermediate
Front Squats With Two Kettlebells,Strength,Quadriceps,Kettlebells,Beginner
Kettlebell Pistol Squat,Strength,Quadriceps,Kettlebells,Beginner
Goblet Squat,Strength,Quadriceps,Kettlebells,Intermediate
Kettlebell Curtsy Lunge,Strength,Quadriceps,Kettlebells,Beginner
Single-arm kettlebell overhead squat,Strength,Quadriceps,Kettlebells,Expert
Kettlebell side squat,Strength,Quadriceps,Kettlebells,Intermediate
Kettlebell sumo squat,Strength,Quadriceps,Kettlebells,Intermediate
Kettlebell thruster progression,Strength,Quadriceps,Kettlebells,Intermediate
Kettlebell power clean,Strength,Quadriceps,Kettlebells,Intermediate
